Group,LoadPath,Key,DisplayName,Taxonomy,Script
Mage,MageWeapons_ItemDefs.def,OldWand,Old Wand,"[Item|Equipment|Tool|Weapon]",BaseWeaponEquipment.gd
Mage,MageWeapons_ItemDefs.def,OldMageOrb,Old Orb,"[Item|Equipment|Tool|Focus]",BaseToolEquipment.gd
Mage,MageActions_PageDefs.def,FireBallSpell_PageItem,Fire Ball,"[Item|Page|Action]",PageItemAction.gd
Mage,MageActions_PageDefs.def,WaterBallSpell_PageItem,Ice Ball,"[Item|Page|Action]",PageItemAction.gd
Mage,MageActions_PageDefs.def,FireTrapSpell_PageItem,Fire Trap,"[Item|Page|Action|Spell]",PageItemAction.gd
Mage,MageActions_PageDefs.def,ChannelMagic_PageItem,Channel,"[Item|Page|Action]",PageItemAction.gd
Mage,MageActions_PageDefs.def,FireZoneSpell_PageItem,Fire Zone,"[Item|Page|Action]",PageItemAction.gd
Mage,MageActions_PageDefs.def,PoisonZoneSpell,Poison Cloud,"[Item|Page|Action]",PageItemAction.gd
Mage,MageActions_PageDefs.def,CallShockSpell_PageItem,Call Shock,"[Item|Page|Action]",PageItemAction.gd
Mage,MageActions_PageDefs.def,ChainShockSpell_PageItem,Chain Shock,"[Item|Page|Action]",PageItemAction.gd
Mage,MageActions_PageDefs.def,ShockStormSpell_PageItem,Shock Storm,"[Item|Page|Action]",PageItemAction.gd
Mage,MageActions_PageDefs.def,DischargeSpell_PageItem,(Dis)charge,"[Item|Page|Action]",PageItemAction.gd
Mage,MageActions_PageDefs.def,FireThrowSpell_PageItem,Throw Flames,"[Item|Page|Action]",PageItemAction.gd
Mage,MageActions_PageDefs.def,WaterBeamSpell_PageItem,Ice Beam,"[Item|Page|Action]",PageItemAction.gd
Mage,MageActions_PageDefs.def,WaterGunSpell_PageItem,Ice Gun,"[Item|Page|Action]",PageItemAction.gd
Mage,MagePassives_PageDefs.def,ChainShockExtend_PageItem,Chain Longer,"[Item|Page|Passive]",PageItemPassive.gd
Mage,MagePassives_PageDefs.def,ChainShockFork_PageItem,Chain Fork,"[Item|Page|Passive]",PageItemPassive.gd
Mage,MagePassives_PageDefs.def,ChainSelectPage,Chain Choice,"[Item|Page|Passive]",PageItemPassive.gd
Mage,MagePassives_PageDefs.def,ColdMagePassive_PageItem,Aqua Mage,"[Item|Page|Passive]",PageItemPassive.gd
Mage,MagePassives_PageDefs.def,HazardSafetyPage,Hazard Saftey,"[Item|Page|Passive]",PageItemPassive.gd
Mage,MagePassives_PageDefs.def,MagBoost_PageItem,Mag Boost,"[Item|Page|Passive]",PageItemPassive.gd
Mage,MagePassives_PageDefs.def,SafteyHazardPage,Saftey Hazard,"[Item|Page|Passive]",PageItemPassive.gd
Mage,MagePassives_PageDefs.def,MergedMagBonus_PageItem,Merged Bonus,"[Item|Page|Passive]",PageItemPassive.gd
Mage,MagePassives_PageDefs.def,DeployedMagBonus_PageItem,Deploy Bonus,"[Item|Page|Passive]",PageItemPassive.gd
Mage,MageShared_PageDefs.def,#BaseEnchantWeapon_PageItem,#Base Weapon Enchant,"[Item|Page|Passive]",PageItemPassive.gd
Mage,MageShared_PageDefs.def,EnchantWeapon_Cold_PageItem,Cold Enchant,"[Item|Page|Passive]",PageItemPassive.gd
Mage,MageShared_PageDefs.def,EnchantWeapon_Fire_PageItem,Fire Enchant,"[Item|Page|Passive]",PageItemPassive.gd
Mage,MageShared_PageDefs.def,EnchantWeapon_Poison_PageItem,Poison Enchant,"[Item|Page|Passive]",PageItemPassive.gd
Mage,MageShared_PageDefs.def,EnchantWeapon_Shock_PageItem,Shock Enchant,"[Item|Page|Passive]",PageItemPassive.gd
Mage,MageActors_ActorDefs.def,MageTemplate,Mage,"[Actor]",BaseActor.gd
Priest,PriestWeapons_ItemDefs.def,OldStaff,Old Staff,"[Item|Equipment|Tool|Weapon]",BaseWeaponEquipment.gd
Priest,PriestActions_PageDefs.def,LightMeleeSpell_PageItem,Light Touch,"[Item|Page|Action]",PageItemAction.gd
Priest,PriestActions_PageDefs.def,LightMissileSpell_PageItem,Light Missile,"[Item|Page|Action]",PageItemAction.gd
Priest,PriestActions_PageDefs.def,LightRangedSpell_PageItem,Light Bullet,"[Item|Page|Action]",PageItemAction.gd
Priest,PriestActions_PageDefs.def,ApplyBlessing_Air_PageItem,Blessing of Air,"[Item|Page|Action]",PageItemAction.gd
Priest,PriestActions_PageDefs.def,ApplyBlessing_Earth_PageItem,Blessing of Earth,"[Item|Page|Action]",PageItemAction.gd
Priest,PriestActions_PageDefs.def,ApplyBlessing_Fire_PageItem,Blessing of Fire,"[Item|Page|Action]",PageItemAction.gd
Priest,PriestActions_PageDefs.def,ApplyBlessing_Water_PageItem,Blessing of Water,"[Item|Page|Action]",PageItemAction.gd
Priest,PriestActions_PageDefs.def,ApplyHolyArmorAction,Holy Armor,"[Item|Page|Action]",PageItemAction.gd
Priest,PriestActions_PageDefs.def,ApplyHolyBookAction,Holy Book,"[Item|Page|Action]",PageItemAction.gd
Priest,PriestActions_PageDefs.def,LightAura_PageItem,Light Aura,"[Item|Page|Action]",PageItemAction.gd
Priest,PriestActions_PageDefs.def,ApplyPreemtive,Preemtive,"[Item|Page|Action]",PageItemAction.gd
Priest,PriestActions_PageDefs.def,SustainBlessing_PageItem,Chant,"[Item|Page|Action]",PageItemAction.gd
Priest,PriestActions_PageDefs.def,HealLargeSpell_PageItem,Restore,"[Item|Page|Action]",PageItemAction.gd
Priest,PriestActions_PageDefs.def,HealMediumSpell_PageItem,Relieve,"[Item|Page|Action]",PageItemAction.gd
Priest,PriestActions_PageDefs.def,HealSmallSpell_PageItem,Refresh,"[Item|Page|Action]",PageItemAction.gd
Priest,PriestActions_PageDefs.def,RemoveAilmentSpell,Remove Ailment,"[Item|Page|Action]",PageItemAction.gd
Priest,PriestActions_PageDefs.def,ReviveSpell_PageItem,Revive,"[Item|Page|Action]",PageItemAction.gd
Priest,PriestPassives_PageDefs.def,BlessedLimit1_PageItem,Blessed,"[Item|Page|Passive]",PageItemPassive.gd
Priest,PriestPassives_PageDefs.def,BlessedLimit2_PageItem,More Blessed,"[Item|Page|Passive]",PageItemPassive.gd
Priest,PriestPassives_PageDefs.def,BlessedLimit3_PageItem,Even Blesseder,"[Item|Page|Passive]",PageItemPassive.gd
Priest,PriestPassives_PageDefs.def,BlessedMassPage,Mass Bless,"[Item|Page|Passive]",PageItemPassive.gd
Priest,PriestPassives_PageDefs.def,HaloOfLight_PageItem,Light Halo,"[Item|Page|Passive]",PageItemPassive.gd
Priest,PriestPassives_PageDefs.def,HarmingLight_PageItem,Harming Light,"[Item|Page|Passive]",PageItemPassive.gd
Priest,PriestPassives_PageDefs.def,HealingLight_PageItem,Healing Light,"[Item|Page|Passive]",PageItemPassive.gd
Priest,PriestPassives_PageDefs.def,RemoveMorePage,Remove More,"[Item|Page|Passive]",PageItemPassive.gd
Priest,PriestPassives_PageDefs.def,RemoveSelectPage,Remove Select,"[Item|Page|Passive]",PageItemPassive.gd
Priest,PriestActors_ActorDefs.def,PriestTemplate,Priest,"[Actor]",CarrierActor.gd
Rogue,RogueWeapons_ItemDefs.def,BlackJack,Black Jack,"[Item|Equipment|Tool|Weapon]",BaseWeaponEquipment.gd
Rogue,RogueWeapons_ItemDefs.def,OldDagger,Old Dagger,"[Item|Equipment|Tool|Weapon]",BaseWeaponEquipment.gd
Rogue,RogueActions_PageDefs.def,ArmorBreak_PageItem,Armor Break,"[Item|Page|Action]",PageItemAction.gd
Rogue,RogueActions_PageDefs.def,PocketSand_PageItem,Pocket Sand,"[Item|Page|Action]",PageItemAction.gd
Rogue,RogueActions_PageDefs.def,ThrowKnife_PageItem,Throw Knife,"[Item|Page|Action]",PageItemAction.gd
Rogue,RogueActions_PageDefs.def,BeDeadly_PageItem,Be Deadly,"[Item|Page|Action]",PageItemAction.gd
Rogue,RogueActions_PageDefs.def,BeNimble_PageItem,Be Nimble,"[Item|Page|Action]",PageItemAction.gd
Rogue,RogueActions_PageDefs.def,_OLD_BeQuick_PageItem,Be Quick,"[Item|Page|Action]",PageItemAction.gd
Rogue,RogueActions_PageDefs.def,Dodge_PageItem,Dodge,"[Item|Page|Action]",PageItemAction.gd
Rogue,RogueActions_PageDefs.def,CoupDeGraceAttackAction,Coup De Grace,"[Item|Page|Action]",PageItemAction.gd
Rogue,RogueActions_PageDefs.def,DoubleAttack_PageItem,Double Attack,"[Item|Page|Action]",PageItemAction.gd
Rogue,RogueActions_PageDefs.def,GetBehind_PageItem,Get Behind,"[Item|Page|Action]",PageItemAction.gd
Rogue,RogueActions_PageDefs.def,JumpOver_PageItem,Jump Over,"[Item|Page|Action]",PageItemAction.gd
Rogue,RoguePassives_PageDefs.def,_OLD_ArtfulDodgerPage,Artful Dodger,"[Item|Page|Passive]",PageItemPassive.gd
Rogue,RoguePassives_PageDefs.def,Serpentine_PageItem,Serpentine,"[Item|Page|Passive]",PageItemPassive.gd
