Faction,ObjectType,LoadPath,Key,DisplayName,Taxonomy,Script,In Game,Icon,Tags,Spelling,Formatting,Tested,Values
Squirrels,Title,SquirrelTtitles_PageDefs.def,BaseSquirrel_TitlePage,Squirrel,[Item|Page|Title],PageItemTitle.gd,,,,,,,
Squirrels,Title,SquirrelTtitles_PageDefs.def,SquirrelMag_TitlePage,Squirrcerer,[Item|Page|Title],PageItemTitle.gd,,,,,,,
Squirrels,Title,SquirrelTtitles_PageDefs.def,SquirrelPhy_TitlePage,Squirrior,[Item|Page|Title],PageItemTitle.gd,,,,,,,
Squirrels,Actor,Squirrels_ActorDefs.def,BaseSquirrel,Squirrel,[Actor],BaseActor.gd,,,,,,,
Squirrels,Actor,Squirrels_ActorDefs.def,Squirrcerer,Squirrcerer,[Actor],BaseActor.gd,,,,,,,
Squirrels,Actor,Squirrels_ActorDefs.def,Squirrior,Squirrior,[Actor],BaseActor.gd,,,,,,,
Squirrels,Action,SquirrelPages_PageDefs.def,ChuckAcorn_ActionPage,Chuck Acorn,[Item|Page|Action],PageItemAction.gd,,,,,,,
Squirrels,Action,SquirrelPages_PageDefs.def,ChuckAcornFire_ActionPage,Fire Acorn,[Item|Page|Action],PageItemAction.gd,,,,,,,
Squirrels,Passive,SquirrelPages_PageDefs.def,SquirrelArmor_PassivePage,Squirrel Armor,[Item|Page|Passive],PageItemPassive.gd,,,,,,,
Squirrels,Passive,SquirrelPages_PageDefs.def,SquirrelMagic_PassivePage,Squirrel Magic,[Item|Page|Passive],PageItemPassive.gd,,,,,,,
Squirrels,Passive,SquirrelPages_PageDefs.def,Squirrely_PassivePage,Squirrely,[Item|Page|Passive],PageItemPassive.gd,,,,,,,
Bandits,Title,BanditTitles_PageDefs.def,BanditBase_TitlePage,Bandit,[Item|Page|Title],PageItemTitle.gd,,,,,,,
Bandits,Title,BanditTitles_PageDefs.def,BanditArcher_TitlePage,Bandit Archer,[Item|Page|Title],PageItemTitle.gd,,,,,,,
Bandits,Title,BanditTitles_PageDefs.def,BanditCaptain_TitlePage,Bandit Captain,[Item|Page|Title],PageItemTitle.gd,,,,,,,
Bandits,Actor,Bandits_ActorDefs.def,Bandit_Armored,Armored Bandit,[Actor],BaseActor.gd,,,,,,,
Bandits,Actor,Bandits_ActorDefs.def,Bandit_Captain,Bandit Captain,[Actor],BaseActor.gd,,,,,,,
Bandits,Actor,Bandits_ActorDefs.def,Bandit_Ranged,Archer Bandit,[Actor],BaseActor.gd,,,,,,,
Bandits,Weapon,,,Bow,,,,,,,,,
Bandits,Weapon,,,Bandit Axe,,,,,,,,,
Bandits,Weapon,,,Big Mal-ma,,,,,,,,,
Undead,Title,UndeadTitles_PageDefs.def,SkeletonMage_TitlePage,Skeleton Mage,[Item|Page|Title],PageItemTitle.gd,,,,,,,
Undead,Title,UndeadTitles_PageDefs.def,Skeleton_TitlePage,Skeleton,[Item|Page|Title],PageItemTitle.gd,,,,,,,
Undead,Title,UndeadTitles_PageDefs.def,Zombie_TitlePage,Zombie,[Item|Page|Title],PageItemTitle.gd,,,,,,,
Undead,Actor,Undead_ActorDefs.def,#BaseUndead,#Base Undead,[Actor],BaseActor.gd,,,,,,,
Undead,Actor,Undead_ActorDefs.def,Skeleton,Skeleton,[Actor],BaseActor.gd,,,,,,,
Undead,Actor,Undead_ActorDefs.def,SkeletonMage,Skel Mage,[Actor],BaseActor.gd,,,,,,,
Undead,Actor,Undead_ActorDefs.def,ZombieBasic,Zombie,[Actor],BaseActor.gd,,,,,,,
Undead,Action,UndeadActions_PageDefs.def,BiteAttack_ActionPage,Bite,[Item|Page|Action],PageItemAction.gd,,,,,,,
Undead,Action,,,Dark Bolt,,,,,,,,,
Undead,Weapon,,,Bow,,,,,,,,,
Undead,Weapon,,,Bone Rod,,,,,,,,,
Slimes,Title,SlimeTitles_PageDefs.def,SlimeBase_TitlePage,Slime,[Item|Page|Title],PageItemTitle.gd,,,,,,,
Slimes,Title,SlimeTitles_PageDefs.def,SlimePoison_TitlePage,Poison Slime,[Item|Page|Title],PageItemTitle.gd,,,,,,,
Slimes,Actor,Slimes_ActorDefs.def,SlimeBasic,Slime,[Actor],BaseActor.gd,,,,,,,
Slimes,Actor,Slimes_ActorDefs.def,SlimePoison,Green Slime,[Actor],BaseActor.gd,,,,,,,
Slimes,Action,SlimePages_PageDefs.def,SlimeSpike_ActionPage,Slime Spike,[Item|Page|Action],PageItemAction.gd,,,,,,,
Slimes,Passive,SlimePages_PageDefs.def,SlimePoisonSkin_PassivePage,Poison Skin ,[Item|Page|Passive],PageItemPassive.gd,,,,,,,
Dummies,Title,TargetDummyTitle_PageDefs.def,TargetDummy_TitlePage,Target Dummy,[Item|Page|Title],PageItemTitle.gd,,,,,,,
Dummies,Actor,TargetDummy_ActorDefs.def,TargetDummy,Test Target,[Actor],BaseActor.gd,,,,,,,
Dummies,Actor,TargetDummy_ActorDefs.def,TargetDummy_Mag,Warded Target,[Actor],BaseActor.gd,,,,,,,
Dummies,Actor,TargetDummy_ActorDefs.def,TargetDummy_Moving,Moving Target,[Actor],BaseActor.gd,,,,,,,
Dummies,Actor,TargetDummy_ActorDefs.def,TargetDummy_Phy,Armored Target,[Actor],BaseActor.gd,,,,,,,
Decore,Actor,Objects_ActorDefs.def,#BaseObjectActor,#BaseObjectActor,[Actor|Object|Rooted],BaseActor.gd,,,,,,,
Decore,Actor,Objects_ActorDefs.def,BarrelActor,Barrel,[Actor|Object|Rooted],BaseActor.gd,,,,,,,
Decore,Actor,Objects_ActorDefs.def,CrateActor,Crate,[Actor|Object|Rooted],BaseActor.gd,,,,,,,
Decore,Actor,Objects_ActorDefs.def,LeverActor,Lever,[Actor|Object|Rooted],LeverActor.gd,,,,,,,
Decore,Actor,Objects_ActorDefs.def,ShrineActor,Shrine,[Actor|Object|Rooted],SpawnerActor.gd,,,,,,,
Decore,Actor,Objects_ActorDefs.def,StalagmiteActor,Stalagmite,[Actor|Object|Rooted],BaseActor.gd,,,,,,,
Decore,Actor,Objects_ActorDefs.def,AlterActor,Alter,[Actor|Object],AlterActor.gd,,,,,,,
Mushrooms,Title,MushroomTitles_PageDefs.def,Mushroom_TitlePage,Roof Shroom,[Item|Page|Title],PageItemTitle.gd,,,,,,,
Mushrooms,Title,MushroomTitles_PageDefs.def,ShroomGolem_TitlePage,Shroom Golem,[Item|Page|Title],PageItemTitle.gd,,,,,,,
Mushrooms,Actor,Muhrooms_ActorDefs.def,MushroomBase,Mushroom,[Actor],BaseActor.gd,,,,,,,
Mushrooms,Actor,Muhrooms_ActorDefs.def,MushroomRoof,Roof Shroom,[Actor],BaseActor.gd,,,,,,,
Mushrooms,Actor,Muhrooms_ActorDefs.def,ShroomGolem,Shroom Golem,[Actor],BaseActor.gd,,,,,,,
