PageKey,Title,DisplayName,Script,AmmoType,AmmoCost,AmmoClip,AccMod,AtkStat,AtkPwrBase,AtkPwrRange,AtkPwrScale,BaseDamage,DamageType
#BaseTitlePage,,Base Title,PageItemTitle.gd,,,,,,,,,,
#BaseLivingTitlePage,,Base Player Title,PageItemTitle.gd,,,,,,,,,,
MageTitlePage,Mage,Mage,PageItemTitle.gd,,,,,,,,,,
PriestTitlePage,Priest,Priest,PageItemTitle.gd,,,,,,,,,,
RogueTitlePage,Rogue,Rogue,PageItemTitle.gd,,,,,,,,,,
SoldierTitlePage,Soldier,Soldier,PageItemTitle.gd,,,,,,,,,,
BanditBase_TitlePage,,Bandit,PageItemTitle.gd,,,,,,,,,,
BanditArcher_TitlePage,,Bandit Archer,PageItemTitle.gd,,,,,,,,,,
BanditCaptain_TitlePage,,Bandit Captain,PageItemTitle.gd,,,,,,,,,,
Mushroom_TitlePage,,Roof Shroom,PageItemTitle.gd,,,,,,,,,,
ShroomGolem_TitlePage,,Shroom Golem,PageItemTitle.gd,,,,,,,,,,
SlimeBase_TitlePage,,Slime,PageItemTitle.gd,,,,,,,,,,
SlimePoison_TitlePage,,Poison Slime,PageItemTitle.gd,,,,,,,,,,
BaseSquirrel_TitlePage,,Squirrel,PageItemTitle.gd,,,,,,,,,,
SquirrelMag_TitlePage,,Squirrcerer,PageItemTitle.gd,,,,,,,,,,
SquirrelPhy_TitlePage,,Squirrior,PageItemTitle.gd,,,,,,,,,,
SkeletonMage_TitlePage,,Skeleton Mage,PageItemTitle.gd,,,,,,,,,,
Skeleton_TitlePage,,Skeleton,PageItemTitle.gd,,,,,,,,,,
Zombie_TitlePage,,Zombie,PageItemTitle.gd,,,,,,,,,,
#BaseInflictAttack,,#Base Inflict Attack,PageItemAction.gd,,,,1.0,,,,,,
ArmorBreakAction,Rogue,Armor Break,PageItemAction.gd,Phy,3.0,12.0,1.0,,,,,,
PocketSandAction,Rogue,Pocket Sand,PageItemAction.gd,Phy,3.0,12.0,1.0,,,,,,
#BaseMeleeAttack,,#Base Melee Attack,PageItemAction.gd,,,,1.0,PhyAttack,100.0,10.0,1.0,0.0,RAW
#BaseMeleeSpell,,#Base Melee Spell,PageItemAction.gd,Mag,4.0,24.0,1.0,MagAttack,100.0,10.0,1.0,0.0,RAW
ColdMeleeSpell,,Cold Touch,PageItemAction.gd,Mag,4.0,24.0,1.0,MagAttack,100.0,10.0,1.0,0.0,Cold
FireMeleeSpell,,Fire Touch,PageItemAction.gd,Mag,4.0,24.0,1.0,MagAttack,100.0,10.0,1.0,0.0,Fire
PoisonMeleeSpell,,Poison Touch,PageItemAction.gd,Mag,4.0,24.0,1.0,MagAttack,90.0,20.0,1.0,0.0,Poison
