Squirrels,,,,,,,,,,
Actors,In Game,Icon,Tags,Check Keys,Description,Stats,Ai Actions,Drop Sets,,
Squirrel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
Squirrcerer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
Squirrior,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
,,,,,,,,,,
Actions,In Game,Icon,Tags,Check Keys,Description,Dam / Mods,Previews,Ammo,Action Verb,Frame Timing
Scratch,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,???
Chuck Acorn,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,???
Fire Acorn,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,???
,,,,,,,,,,
Passives,In Game,Icon,Tags,Check Keys,Description,Mods,,,,
Squirrel Magic,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Squirrely,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
,,,,,,,,,,
Equipment,In Game,Icon,Tags,Check Keys,Description,Mods,,,,
Squirrifesto,TRUE,TRUE,TRUE,TRUE,TRUE,??????????,,,,
Squirrel Armor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,
Leaf Pouch,FALSE,,,TRUE,,NA,,,,
,,,,,,,,,,
Bandits,,,,,,,,,,
Actors,In Game,Icon,Tags,Check Keys,Description,Stats,Ai Actions,Drop Sets,,
Bandit,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
Archer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
Captain,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
,,,,,,,,,,
Actions,In Game,Icon,Tags,Check Keys,Description,Dam / Mods,Previews,Ammo,Action Verb,Frame Timing
Heavy Attack,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Passives,In Game,Icon,Tags,Check Keys,Description,Mods,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Equipment,In Game,Icon,Tags,Check Keys,Description,Mods,,,,
